Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Library Name,BioSampleModel,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Collection_Date,tissue,isolate,HOST,isolation_source,BREED,dev_stage,sex,lat_lon,AGE,collected_by,BIOMATERIAL_PROVIDER,aliquot,identified_by,replicate,strain,Other,Cultivar,env_broad_scale,env_local_scale,env_medium,ecotype,treatment,ExtendedName,isol_growth_condt,lab_identifier,altitude,Diet,fragment_length (exp),unique,source_name,tmp,Sample_name,sample_type,Developmental_Stage,GEO_Accession (exp),replicate_num,env_biome,specimen_voucher,temp,host_tissue_sampled,PHENOTYPE,common_name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,Broker_name,ena_first_public,ena_last_update,Scientific_Name,Development_stage,Organism_part,SampleIdentifier,project_name,specimen_with_known_storage_state,mean_tethered_flight_distance,time_course_exposure,sampleID,cell_type,host_life_stage,Depth,genotype,store_cond,Birth_date,birth_location,breeding_history,breeding_method,cell_line,cell_subtype,culture_collection,death_date,disease,disease_stage,growth_protocol,health_state,stud_book_number,body_site,label,samp_mat_process,tissue_type,Authors,gender,barcoding_center,collecting_institution,elevation,GAL,GAL_sample_id,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),geographical_location,habitat,identifier_affiliation,lifestage,notes,Original_Collector,sample_collection_device_or_method,sample_derived_from,Sample_ID/FastQ_file_ID,specimen_id,tolid,biological_replicates,Control,agrochem_addition,ArrayExpress-SPECIES,ArrayExpress-STRAIN_OR_LINE,AssemblyName,biosample_accession,chem_administration,collection_method,cur_vegetation,ENA_first_public
SRR28592614,Targeted-Capture,152,537863552,PRJNA1097763,SAMN40887573,250164288,UNIVERSITY OF WAIKATO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX24192019,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM043,SRP500412,2024-04-09T00:56:00Z,1,AM043_R1,Invertebrate,Australia,Oceania,Australia,1969,Exoskeleton tissue soak,AM043_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR28592615,Targeted-Capture,152,301495800,PRJNA1097763,SAMN40887572,166522440,UNIVERSITY OF WAIKATO,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX24192018,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM042,SRP500412,2024-04-09T00:56:00Z,1,AM042_R1,Invertebrate,Australia,Oceania,Australia,1969,Exoskeleton tissue soak,AM042_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR28592616,Targeted-Capture,152,120767192,PRJNA1097763,SAMN40887536,55144039,UNIVERSITY OF WAIKATO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24192017,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM005,SRP500412,2024-04-09T00:56:00Z,1,AM005_R1,Invertebrate,Australia,Oceania,Australia,1960,Exoskeleton tissue soak,AM005_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR28592617,Targeted-Capture,152,359425128,PRJNA1097763,SAMN40887571,162721850,UNIVERSITY OF WAIKATO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX24192016,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM041,SRP500412,2024-04-09T00:56:00Z,1,AM041_R1,Invertebrate,Australia,Oceania,Australia,1969,Exoskeleton tissue soak,AM041_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR28592618,Targeted-Capture,152,69969704,PRJNA1097763,SAMN40887570,38780285,UNIVERSITY OF WAIKATO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX24192015,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM040,SRP500412,2024-04-09T00:56:00Z,1,AM040_R1,Invertebrate,Australia,Oceania,Australia,1969,Exoskeleton tissue soak,AM040_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR28592619,Targeted-Capture,152,463949600,PRJNA1097763,SAMN40887569,209708118,UNIVERSITY OF WAIKATO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX24192014,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM039,SRP500412,2024-04-09T00:56:00Z,1,AM039_R1,Invertebrate,Australia,Oceania,Australia,1962,Exoskeleton tissue soak,AM039_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR28592620,Targeted-Capture,152,223273560,PRJNA1097763,SAMN40887568,99888707,UNIVERSITY OF WAIKATO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX24192013,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM038,SRP500412,2024-04-09T00:55:00Z,1,AM038_R1,Invertebrate,Australia,Oceania,Australia,1957,Exoskeleton tissue soak,AM038_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR28592621,Targeted-Capture,152,390655960,PRJNA1097763,SAMN40887567,174250997,UNIVERSITY OF WAIKATO,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24192012,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM037,SRP500412,2024-04-09T00:56:00Z,1,AM037_R1,Invertebrate,Australia,Oceania,Australia,1957,Exoskeleton tissue soak,AM037_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR28592622,Targeted-Capture,152,439710768,PRJNA1097763,SAMN40887566,196021206,UNIVERSITY OF WAIKATO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24192011,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM036,SRP500412,2024-04-09T00:56:00Z,1,AM036_R1,Invertebrate,Australia,Oceania,Australia,1957,Exoskeleton tissue soak,AM036_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR28592623,Targeted-Capture,152,296324152,PRJNA1097763,SAMN40887565,163126680,UNIVERSITY OF WAIKATO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24192010,NextSeq 500,PAIRED,PCR,GENOMIC,Helicoverpa armigera,ILLUMINA,2024-04-09T00:00:00Z,AM035,SRP500412,2024-04-09T00:56:00Z,1,AM035_R1,Invertebrate,Australia,Oceania,Australia,1957,Exoskeleton tissue soak,AM035_1,moth,Wild-caught,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
